time,wx,wy,wz,ax,ay,az,Bx,By,Bz
 169,-15,-6,3,-52,-193,4061,0,5,-62
 170,-15,-6,4,-47,-186,4040,-1,-5,-70
 171,-14,-5,2,-49,-200,4068,-17,7,-88
 172,-14,-6,3,-46,-187,4072,-9,-1,-86
 173,-13,-6,2,-47,-187,4056,18,7,-104
 174,-14,-4,3,-52,-178,4067,1,-4,-82
 175,-14,-5,3,-50,-187,4051,-2,17,-66
 176,-16,-6,3,-53,-198,4046,-11,2,-77
 177,-15,-7,3,-29,-195,4040,-16,-7,-81
 178,-16,-5,3,-63,-188,4076,0,10,-69
 179,-16,-7,4,-42,-194,4071,-23,-2,-83
 180,-14,-7,2,-47,-197,4061,14,-3,-93
 181,-13,-4,1,-45,-205,4059,-6,5,-80
 182,-14,-6,2,-43,-180,4032,0,-3,-36
 183,-14,-6,1,-53,-186,4086,-3,-40,-94
 184,-12,-5,3,-66,-188,4065,3,0,-97
 185,-16,-5,2,-54,-202,4059,-11,-15,-67
 186,-14,-4,2,-36,-183,4097,-3,23,-62
 187,-14,-4,3,-57,-190,4067,-4,3,-92
 188,-15,-5,2,-42,-198,4057,11,-11,-90
 189,-13,-6,2,-50,-180,4055,-4,-5,-59
 190,-14,-5,2,-60,-189,4050,10,-8,-67
 191,-13,-5,3,-45,-198,4072,17,-11,-76
 192,-13,-6,2,-59,-192,4087,-5,-19,-62
 193,-15,-5,2,-35,-195,4053,-4,5,-75
 194,-16,-4,1,-47,-187,4061,-1,-2,-90
 195,-16,-6,3,-50,-192,4083,11,-10,-68
 196,-17,-6,3,-51,-195,4068,15,-9,-71
 197,-15,-6,3,-45,-201,4059,1,4,-49
 198,-14,-7,2,-47,-194,4048,-3,-8,-65
 199,-13,-7,3,-54,-194,4086,8,-32,-28
 200,-14,-6,3,-45,-195,4025,18,-16,-88
 201,-14,-6,3,-48,-192,4038,-5,-2,-80
 202,-15,-6,3,-50,-190,4076,17,6,-69
 203,-14,-7,2,-49,-204,4034,-25,-16,-67
 204,-17,-6,3,-50,-185,4050,3,-5,-74
 205,-15,-6,3,-42,-192,4049,-2,-31,-100
 206,-13,-6,2,-57,-201,4099,3,-24,-85
 207,-15,-6,3,-48,-192,4032,15,6,-64
 208,-14,-5,3,-48,-181,4074,13,-12,-71
 209,-15,-5,3,-48,-185,4046,14,-1,-85
 210,-14,-7,3,-52,-187,4034,-10,-1,-82
 211,-15,-5,3,-49,-210,4065,-1,-10,-56
 212,-13,-5,4,-39,-193,4076,7,-11,-112
 213,-14,-5,3,-52,-192,4061,18,-12,-102
 214,-17,-5,3,-45,-184,4056,9,3,-72
 215,-15,-6,2,-45,-197,4057,-14,-17,-101
 216,-15,-6,1,-49,-183,4067,21,9,-80
 217,-13,-5,3,-45,-192,4068,11,0,-96
 218,-12,-5,3,-45,-188,4074,2,-19,-73
 219,-11,-5,2,-47,-186,4084,-5,-15,-64
 220,-13,-6,2,-44,-195,4059,-14,4,-72
 221,-13,-7,2,-57,-190,4067,8,-15,-82
 222,-14,-5,3,-40,-188,4068,-10,-17,-69
 223,-15,-7,2,-45,-203,4075,13,-13,-28
 224,-14,-5,3,-38,-180,4038,0,-7,-81
 225,-13,-7,3,-34,-183,4071,4,-10,-109
 226,-13,-6,1,-56,-199,4065,1,-3,-74
 227,-13,-6,3,-46,-185,4069,6,-3,-91
 228,-14,-6,4,-42,-191,4059,-11,-17,-74
 229,-13,-5,3,-49,-189,4037,5,0,-97
 230,-11,-5,2,-47,-203,4034,3,-3,-100
 231,-15,-5,1,-42,-194,4070,-12,-8,-74
 232,-15,-7,3,-44,-188,4078,1,4,-58
 233,-14,-6,4,-44,-181,4087,-7,-22,-64
 234,-14,-4,3,-46,-192,4065,-6,-5,-74
 235,-14,-5,3,-65,-208,4051,5,-2,-87
 236,-14,-5,3,-38,-199,4076,18,-6,-130
 237,-14,-5,0,-53,-188,4040,-1,-7,-95
 238,-17,-4,2,-49,-193,4080,1,-8,-27
 239,-16,-5,3,-51,-192,4046,1,-11,-77
 240,-17,-6,3,-41,-197,4067,4,8,-64
 241,-15,-7,3,-50,-192,4056,-1,-10,-65
 242,-14,-6,1,-37,-196,4053,-3,-5,-73
 243,-14,-5,3,-51,-186,4090,15,-7,-59
 244,-14,-6,3,-50,-187,4072,0,3,-87
 245,-12,-5,3,-66,-198,4070,4,-17,-81
 246,-14,-5,4,-55,-190,4082,-20,2,-74
 247,-15,-6,3,-53,-188,4047,-9,-6,-81
 248,-13,-5,2,-56,-191,4061,7,-6,-76
 249,-15,-7,2,-50,-207,4031,-2,3,-76
 250,-14,-5,3,-50,-190,4059,-9,-12,-69
 251,-14,-5,3,-57,-176,4083,0,-18,-78
 252,-13,-7,2,-49,-190,4072,-2,-6,-88
 253,-14,-7,3,-50,-189,4057,16,-1,-86
 254,-16,-7,3,-55,-197,4052,-3,-15,-85
 255,-17,-6,2,-47,-199,4067,-19,2,-84
 256,-14,-4,3,-47,-184,4084,7,-6,-116
 257,-13,-6,2,-46,-193,4057,-1,-21,-90
 258,-15,-7,1,-51,-177,4071,-14,1,-76
 259,-17,-5,2,-56,-185,4065,8,-4,-81
 260,-15,-5,1,-45,-203,4069,-1,1,-47
 261,-16,-4,2,-37,-192,4059,12,6,-68
 262,-15,-5,3,-44,-197,4044,0,-2,-51
 263,-15,-7,2,-44,-181,4061,-9,-12,-86
 264,-16,-5,2,-41,-186,4078,14,-8,-96
 265,-15,-5,5,-39,-197,4058,6,5,-55
 266,-14,-4,3,-60,-203,4050,-2,9,-48
 267,-13,-6,2,-59,-197,4047,-13,-6,-79
 268,-15,-6,3,-44,-185,4042,6,-4,-79
 269,-15,-4,2,-49,-195,4057,-5,-10,-92
 270,-15,-7,3,-57,-193,4025,-18,-17,-67
 271,-16,-5,3,-53,-180,4068,6,-2,-56
 272,-14,-7,2,-50,-189,4059,-9,-4,-52
 273,-16,-6,3,-58,-205,4076,-7,-19,-74
 274,-16,-6,2,-51,-198,4040,-5,5,-84
 275,-14,-5,1,-62,-186,4047,9,-25,-79
 276,-14,-6,3,-52,-202,4060,-12,0,-56
 277,-13,-5,5,-42,-209,4078,-9,-12,-81
 278,-13,-4,3,-56,-182,4046,-1,-5,-89
 279,-16,-4,2,-42,-170,4040,-6,-11,-86
 280,-13,-5,3,-49,-174,4056,4,-13,-92
 281,-14,-6,4,-50,-195,4056,-23,-4,-70
 282,-14,-5,3,-54,-202,4059,-5,5,-87
 283,-13,-6,2,-54,-200,4042,-1,-9,-49
 284,-13,-6,2,-52,-194,4054,-11,-1,-68
 285,-13,-4,3,-45,-192,4044,-18,4,-78
 286,-14,-5,2,-50,-180,4089,-11,-15,-46
 287,-14,-7,2,-42,-186,4063,-15,-4,-92
 288,-14,-6,3,-43,-180,4067,-14,-30,-94
 289,-13,-4,4,-47,-190,4051,-1,-15,-47
 290,-15,-6,2,-55,-189,4055,5,-14,-73
 291,-16,-6,2,-49,-191,4080,-23,-8,-88
 292,-15,-5,2,-46,-199,4030,-8,-7,-72
 293,-15,-6,2,-56,-190,4040,0,6,-103
 294,-16,-4,3,-52,-203,4040,-35,-15,-96
 295,-15,-5,2,-48,-198,4078,-1,-15,-76
 296,-15,-5,1,-34,-190,4036,5,-7,-76
 297,-16,-4,1,-49,-199,4087,-26,5,-68
 298,-16,-6,1,-51,-191,4061,-17,-13,-90
 299,-15,-7,2,-45,-201,4044,-8,-10,-85
 300,-15,-6,2,-59,-190,4042,-13,1,-80
 301,-14,-6,3,-45,-197,4057,-8,-36,-80
 302,-13,-5,2,-44,-190,4055,-18,-9,-65
 303,-15,-6,3,-51,-188,4075,-31,-7,-86
 304,-15,-7,3,-49,-200,4063,1,-7,-74
 305,-16,-6,3,-62,-190,4059,-20,-2,-78
 306,-14,-7,3,-49,-200,4034,4,-34,-103
 307,-14,-7,2,-51,-197,4031,9,-6,-67
 308,-13,-5,2,-58,-180,4059,1,5,-79
 309,-13,-7,1,-59,-189,4057,33,-23,-65
 310,-15,-6,3,-45,-192,4048,18,-8,-72
 311,-14,-6,3,-48,-180,4060,-5,-9,-71
 312,-14,-6,3,-53,-198,4065,-29,-17,-77
 313,-15,-6,3,-45,-193,4074,4,-21,-112
 314,-14,-5,3,-59,-197,4057,-16,-16,-79
 315,-14,-5,3,-61,-192,4051,-5,-13,-47
